iter	MAE	RMSE
0	0.2785903752	0.3373455478
1	0.2735814399	0.3314328659
2	0.268100444	0.3251761258
3	0.2630115488	0.3193210249
4	0.2579806814	0.3132770896
5	0.2527961861	0.3074433543
6	0.2471500871	0.3010985754
7	0.2422514434	0.2953394608
8	0.2372368197	0.289490838
9	0.2323908937	0.2837643902
10	0.2288595108	0.279861568
11	0.2246382239	0.2749135938
12	0.2207401497	0.2706879518
13	0.2165739487	0.2658884377
14	0.2126995545	0.261294625
15	0.208619796	0.2565505841
16	0.205035886	0.2524154106
17	0.201430576	0.248442008
18	0.1978419204	0.2442794842
19	0.1940390515	0.2400812021
20	0.1905449531	0.2362489086
21	0.1874217498	0.2329003565
22	0.1844141295	0.229550623
23	0.1814202967	0.226209859
24	0.1783936167	0.2229401935
25	0.1756697901	0.2199326382
26	0.1728646663	0.2166950751
27	0.1703241273	0.2138939694
28	0.1678809291	0.2114600239
29	0.1654755279	0.2088879319
30	0.1629043478	0.2061707958
31	0.1606007408	0.2037359082
32	0.1582621203	0.201242399
33	0.156097008	0.1989814686
34	0.1535921339	0.1963714721
35	0.1514938321	0.1941042872
36	0.1493183182	0.1918122923
37	0.1473557563	0.189815506
38	0.145418224	0.1877480314
39	0.1437576912	0.1861663345
40	0.1419436074	0.1843716557
41	0.1402388179	0.182735875
42	0.1382971734	0.1806030007
43	0.136604775	0.1789391305
44	0.1349898411	0.1771726473
45	0.1332960757	0.1754054725
46	0.1318386984	0.1737584473
47	0.1307512491	0.1726045341
48	0.129480321	0.1713133051
49	0.1279376579	0.169641771
50	0.1267930862	0.1683644456
51	0.1255409543	0.1671629766
52	0.1242209365	0.1657620199
53	0.1230442089	0.1645762735
54	0.1222115537	0.1638757835
55	0.1210943046	0.1627919271
56	0.120173051	0.1618723728
57	0.1192270527	0.1609059742
58	0.118148662	0.1596499982
59	0.1176067586	0.1591557399
60	0.1166885487	0.1581279695
61	0.1158155894	0.1571386909
62	0.1150965213	0.1565146409
63	0.1141663148	0.155589186
64	0.1135447501	0.1550164513
65	0.1126338306	0.1540121571
66	0.1118236395	0.1530488719
67	0.111382464	0.1527167437
68	0.110612593	0.1518226723
69	0.109797551	0.1507975611
70	0.1091738707	0.1501768056
71	0.1087316151	0.1495558963
72	0.1080130657	0.1487158763
73	0.1072671653	0.1478619195
74	0.1065384495	0.1470569107
75	0.1059399959	0.1463805703
76	0.1055181223	0.1459264652
77	0.1051865609	0.1456729471
78	0.1045983111	0.1450406217
79	0.1041282783	0.1444542955
80	0.1035903497	0.143886698
81	0.1030588743	0.1431694114
82	0.1026643936	0.1427118348
83	0.1021273347	0.1420339576
84	0.1016260962	0.1414929778
85	0.1011578418	0.1409650263
86	0.1006703855	0.1403393372
87	0.1004033502	0.1399471665
88	0.09985438964	0.1393667744
89	0.09928092957	0.1386745281
90	0.09868547552	0.1381234493
91	0.09823647648	0.1375562083
92	0.09771408094	0.1369770595
93	0.09744127522	0.1365707676
94	0.09716125497	0.1361309389
95	0.09682586463	0.1357468275
96	0.09643505295	0.1353086435
97	0.09625622337	0.1350153777
98	0.09589706163	0.1345057219
99	0.09561293495	0.1341527963
100	0.09530150892	0.1336803004
101	0.09495950365	0.1332329673
102	0.09468647425	0.1328724038
103	0.09439263465	0.132480932
104	0.09411689758	0.1321680799
105	0.0939246009	0.1319119054
106	0.09356351237	0.1313927242
107	0.09326628869	0.1310693565
108	0.09298701341	0.1306296832
109	0.09275759298	0.1301894465
110	0.09258576934	0.1299065638
111	0.09239802399	0.1296787069
112	0.09211914105	0.1293542009
113	0.09189240657	0.1291260452
114	0.09171309007	0.1287806276
115	0.09148550095	0.128445257
116	0.09130281258	0.1280978899
117	0.0911077393	0.127823205
118	0.09100134646	0.1277070361
119	0.09063553784	0.1273360797
120	0.0904628262	0.1270811403
121	0.09028747616	0.1267614805
122	0.09016735815	0.1265132511
123	0.09000636195	0.1262084777
124	0.08977849149	0.125818712
125	0.08958231586	0.1255285288
126	0.0893843292	0.1252021975
127	0.08916241229	0.1249687259
128	0.08900574273	0.1246791582
129	0.08899998459	0.1245947915
130	0.08880522154	0.1243546965
131	0.08858834101	0.1240252545
132	0.08840162486	0.1236934541
133	0.08823457312	0.1234369077
134	0.08802279188	0.1231551163
135	0.08787134292	0.122886052
136	0.08774446301	0.1226641615
137	0.08770109534	0.1225984235
138	0.08752889379	0.1223437038
139	0.08734118754	0.1220393425
140	0.08719496811	0.1218556651
141	0.08702225648	0.1216221378
142	0.0868803484	0.1213754389
143	0.08667087725	0.1211077551
144	0.08648246692	0.1208529664
145	0.08637496702	0.1206204765
146	0.08619489238	0.1203793554
147	0.08598125906	0.1200213278
148	0.08584699068	0.1198183367
149	0.08572341842	0.1195974446
150	0.0856089581	0.1194358336
151	0.08544607075	0.119223102
152	0.08531425669	0.1190095068
153	0.08522928605	0.1188860676
154	0.08518955298	0.1188311034
155	0.08508423114	0.118618196
156	0.08494087662	0.1183584646
157	0.08471989204	0.1180946616
158	0.08457496892	0.1178445247
159	0.08454508797	0.1177189139
160	0.08430300724	0.1173339885
