iter	Passed	Remaining
0	1	285
1	2	296
2	3	301
3	5	324
4	6	310
5	7	292
6	8	280
7	9	274
8	9	265
9	10	260
10	11	240
11	12	240
12	13	242
13	15	253
14	16	253
15	17	249
16	18	248
17	19	247
18	20	245
19	21	242
20	22	247
21	23	245
22	24	242
23	25	235
24	26	236
25	26	231
26	27	229
27	29	230
28	29	225
29	30	224
30	31	224
31	32	223
32	33	220
33	34	218
34	35	217
35	36	216
36	37	215
37	38	213
38	38	210
39	39	208
40	40	206
41	41	203
42	41	202
43	42	201
44	43	200
45	44	199
46	45	197
47	46	197
48	47	196
49	48	195
50	49	194
51	50	193
52	51	192
53	52	191
54	53	188
55	53	185
56	54	185
57	55	183
58	56	182
59	56	179
60	57	178
61	58	177
62	59	175
63	59	174
64	60	171
65	61	171
66	62	170
67	62	168
68	63	167
69	64	166
70	65	165
71	66	164
72	68	165
73	69	165
74	70	164
75	71	163
76	72	162
77	72	160
78	73	159
79	74	158
80	75	157
81	76	156
82	76	154
83	77	154
84	78	152
85	80	152
86	81	151
87	81	150
88	82	149
89	83	148
90	84	147
91	85	146
92	86	145
93	87	144
94	88	143
95	88	142
96	89	141
97	90	140
98	91	139
99	92	138
100	93	137
101	94	137
102	95	136
103	96	135
104	97	134
105	98	133
106	99	132
107	100	132
108	101	131
109	102	130
110	103	129
111	105	129
112	106	128
113	107	128
114	108	127
115	109	126
116	110	125
117	111	124
118	112	123
119	113	122
120	114	121
121	115	120
122	116	120
123	117	119
124	118	118
125	119	117
126	120	116
127	121	115
128	121	114
129	122	112
130	123	111
131	124	110
132	125	110
133	126	109
134	127	108
135	128	107
136	129	106
137	130	105
138	131	104
139	132	103
140	133	102
141	134	102
142	135	101
143	136	100
144	137	99
145	138	98
146	139	97
147	140	96
148	141	95
149	142	95
150	143	94
151	144	93
152	146	92
153	147	91
154	147	90
155	148	89
156	149	88
157	150	87
158	152	87
159	153	86
160	154	85
161	155	84
162	156	83
163	157	82
164	158	81
165	159	80
166	160	79
167	161	78
168	162	77
169	163	77
170	164	76
171	165	75
172	166	74
173	167	73
174	168	72
175	170	71
176	171	70
177	172	69
178	173	68
179	174	67
180	175	66
181	176	65
182	176	64
183	177	63
184	178	62
185	179	61
186	180	60
187	181	59
188	182	58
189	183	57
190	184	56
191	185	56
192	186	55
193	187	54
194	188	53
195	189	52
196	190	51
197	191	50
198	192	49
199	193	48
200	194	47
201	194	46
202	195	45
203	196	44
204	197	43
205	198	42
206	200	41
207	201	40
208	202	39
209	203	38
210	204	37
211	206	36
212	207	35
213	208	35
214	209	34
215	210	33
216	211	32
217	212	31
218	213	30
219	214	29
220	215	28
221	216	27
222	218	26
223	221	25
224	222	24
225	223	23
226	224	22
227	226	21
228	228	20
229	229	19
230	230	18
231	231	17
232	232	16
233	233	15
234	234	14
235	235	13
236	236	12
237	237	11
238	238	10
239	239	9
240	240	8
241	241	7
242	242	6
243	243	5
244	244	4
245	245	3
246	246	2
247	247	1
248	248	0
249	249	0
