iter	Logloss
0	0.6600472655
1	0.6197738692
2	0.5930485684
3	0.5671891114
4	0.5494519786
5	0.5366919496
6	0.5214241189
7	0.5125820256
8	0.5035492887
9	0.4973238076
10	0.4947302613
11	0.4894524521
12	0.4853552214
13	0.4839694998
14	0.4828080549
15	0.4808893208
16	0.479688644
17	0.4760501514
18	0.47369389
19	0.4719827109
20	0.4704927182
21	0.4667047767
22	0.4647274984
23	0.4631462579
24	0.4613538886
25	0.4588526619
26	0.4583222432
27	0.4562454384
28	0.4524792618
29	0.4508648011
30	0.4462301696
31	0.4451192164
32	0.4430480888
33	0.4417028696
34	0.440215619
35	0.4390772423
36	0.4378975468
37	0.4362757253
38	0.4354958286
39	0.4347047712
40	0.4340835597
41	0.4327984549
42	0.4314931349
43	0.4302825753
44	0.4295343728
45	0.4286791164
46	0.4277748132
47	0.4272482269
48	0.4265773358
49	0.4258603197
50	0.4251311678
51	0.4244543387
52	0.4236681202
53	0.4229846759
54	0.4224804668
55	0.4222828396
56	0.4213832218
57	0.4203837401
58	0.4199009209
59	0.4195493761
60	0.4188557775
61	0.4183159984
62	0.4178859319
63	0.4177249822
64	0.4172413745
65	0.4166895788
66	0.4147080435
67	0.4141704504
68	0.4117120234
69	0.4112196011
70	0.4109248985
71	0.4105478463
72	0.4100694539
73	0.4096310929
74	0.4089876021
75	0.4086986267
76	0.4083409047
77	0.4079979908
78	0.4076876387
79	0.4074228134
80	0.405003074
81	0.4047493019
82	0.4042457683
83	0.4039726222
84	0.4034098911
85	0.4030672199
86	0.4017247207
87	0.4013395156
88	0.4010236307
89	0.4007364685
90	0.4002798635
91	0.3998143835
92	0.3995498607
93	0.3993078989
94	0.3990412209
95	0.3987384133
96	0.3985013849
97	0.3982215987
98	0.3978747149
99	0.3963241358
100	0.3961297503
101	0.3955099572
102	0.3951196717
103	0.3948930932
104	0.3945757145
105	0.3943732039
106	0.3935339485
107	0.3933316253
108	0.3932028461
