iter	Passed	Remaining
0	47707	95367321
1	95609	95513824
2	138798	92393547
3	189625	94623092
4	242195	96636097
5	291581	96902247
6	337685	96143958
7	384260	95680974
8	431008	95348620
9	480981	95715230
10	531864	96170846
11	582206	96452257
12	629169	96166176
13	678600	96264294
14	725567	96016825
15	773153	95871023
16	815058	95074204
17	857538	94424543
18	903359	94187146
19	946271	93680888
20	997366	93989892
21	1047053	94139599
22	1095085	94129761
23	1139773	93841354
24	1186312	93718701
25	1233916	93682752
26	1281320	93631275
27	1327999	93529111
28	1375199	93466170
29	1419677	93225473
30	1460858	92788061
31	1506545	92652536
32	1553064	92572073
33	1601839	92624030
34	1647060	92470681
35	1685922	91976417
36	1732731	91928418
37	1771397	91460035
38	1818829	91454490
39	1860905	91184368
40	1907222	91128026
41	1944711	90660577
42	1990763	90602907
43	2026433	90084177
44	2069663	89915385
45	2114862	89835695
46	2151915	89418948
47	2194131	89228031
48	2238566	89131485
49	2269413	88507115
50	2305154	88093061
51	2350521	88054141
52	2397599	88077848
53	2444273	88084387
54	2489482	88037148
55	2534961	87999383
56	2577943	87876217
57	2618938	87689298
58	2662250	87583520
59	2707708	87549253
60	2743136	87195755
61	2786973	87115405
62	2827209	86925464
63	2869699	86808419
64	2906996	86539047
65	2940132	86154778
66	2985005	86119638
67	3023718	85909175
68	3068139	85863434
69	3112658	85820437
70	3153071	85665854
71	3199408	85673044
72	3231508	85302973
73	3266303	85012158
74	3311068	84984088
75	3356889	84982307
76	3389671	84653735
77	3435834	84662483
78	3477680	84564860
79	3523370	84560892
80	3550299	84111405
81	3592964	84040317
82	3634619	83946581
83	3680013	83939354
84	3725529	83933995
85	3770296	83911022
86	3807509	83721452
87	3840381	83441013
88	3889308	83510875
89	3924110	83278339
90	3965127	83180529
91	3999782	82952008
92	4041867	82880020
93	4087900	82888701
94	4126385	82744879
95	4173012	82764744
96	4210505	82604039
97	4243657	82361588
98	4279741	82179687
99	4324381	82163241
100	4358765	81953430
101	4404521	81958644
102	4434916	81679965
103	4470056	81492562
104	4511184	81416142
105	4551099	81318701
106	4595052	81293778
107	4631104	81130088
108	4665489	80939830
109	4701457	80779584
110	4739608	80658736
111	4776946	80525663
112	4808846	80303484
113	4852171	80273639
114	4898411	80291356
115	4928929	80052610
116	4973307	80040503
117	5019219	80052292
118	5055802	79915664
119	5090841	79756511
120	5137194	79775107
121	5170060	79585029
122	5210970	79520253
123	5243120	79323345
124	5283011	79245172
125	5324224	79187272
126	5369798	79193963
127	5414305	79184214
128	5450197	79048987
129	5489781	78968397
130	5529850	78895344
131	5569571	78817878
132	5605323	78685250
133	5646727	78632789
134	5689372	78597624
135	5726400	78485370
136	5762636	78363447
137	5802561	78292528
138	5840957	78201598
139	5881286	78137085
140	5921740	78074584
141	5956061	77932134
142	5993142	77827034
143	6039873	77847253
144	6083306	77824365
145	6123570	77760952
146	6163514	77693830
147	6200059	77584524
148	6241025	77531125
149	6274751	77388605
150	6312643	77298528
151	6351299	77218428
152	6393930	77186865
153	6432503	77106504
154	6475180	77075534
155	6507674	76924051
156	6545115	76832146
157	6583892	76756519
158	6622708	76681797
159	6665222	76650060
160	6700619	76536893
161	6737726	76444079
162	6779799	76407924
163	6814181	76285593
164	6851205	76193707
165	6895873	76186936
166	6936951	76140316
167	6980950	76125607
168	7027640	76139704
169	7071931	76127259
170	7111499	76063932
171	7152618	76017368
172	7189779	75929056
173	7230166	75875191
174	7263407	75746966
175	7301849	75673716
176	7337344	75570499
177	7383700	75579228
178	7426001	75546086
179	7466893	75498594
180	7511009	75483573
181	7554743	75464420
182	7590983	75370581
183	7634575	75349943
184	7677903	75326462
185	7715360	75245503
186	7750001	75137716
187	7789493	75077461
188	7831903	75045377
189	7867072	74944219
190	7908432	74902382
191	7950696	74869057
192	7990721	74814679
193	8030595	74759051
194	8065884	74661137
195	8109728	74642603
196	8141618	74514409
197	8179459	74441346
198	8223971	74429006
199	8260836	74347526
200	8305337	74334835
201	8349143	74315640
202	8378002	74163894
203	8416326	74096679
204	8456730	74047957
205	8498883	74014552
206	8534630	73925564
207	8576269	73887863
208	8619355	73862519
209	8664211	73852085
210	8704351	73801352
211	8742410	73733161
212	8773899	73610130
213	8813355	73554454
214	8849469	73471179
215	8891817	73439828
216	8929217	73367719
217	8974594	73361136
218	9012269	73291560
219	9059574	73300196
220	9093535	73200907
221	9127796	73104607
222	9166276	73042478
223	9199412	72938196
224	9239643	72890522
225	9283175	72868817
226	9321041	72802671
227	9357017	72722086
228	9398525	72684664
229	9437686	72629151
230	9478590	72587124
231	9518332	72536256
232	9560608	72504702
233	9594455	72409440
234	9633196	72351453
235	9669361	72274376
236	9713191	72254666
237	9753516	72208804
238	9793745	72162283
239	9842327	72177069
240	9878491	72100689
241	9918927	72055676
242	9953935	71971456
243	9995083	71931831
244	10039990	71919114
245	10078690	71861885
246	10117687	71806905
247	10158885	71767607
248	10200818	71733466
249	10243030	71701215
250	10273812	71589231
251	10311752	71527551
252	10352445	71485070
253	10390984	71427790
254	10429367	71369595
255	10467929	71312770
256	10502915	71231835
257	10545654	71203606
258	10587848	71171598
259	10622436	71088613
260	10656861	71004913
261	10696797	70958144
262	10743148	70953799
263	10782071	70900285
264	10826219	70881094
265	10869962	70859079
266	10905970	70786689
267	10946071	70741029
268	10989190	70714826
269	11033283	70694741
270	11066614	70605818
271	11101935	70529941
272	11141198	70479303
273	11183431	70447455
274	11221448	70389084
275	11262855	70352036
276	11290677	70230456
277	11329280	70176331
278	11373725	70158357
279	11418060	70139513
280	11457060	70087853
281	11492932	70017227
282	11531971	69966061
283	11573360	69929178
284	11614546	69891044
285	11664943	69908085
286	11707785	69879568
287	11754765	69875549
288	11792183	69814621
289	11832233	69769375
290	11874999	69740116
291	11916070	69700849
292	11948673	69612236
293	11985104	69546219
294	12031269	69536659
295	12073530	69504380
296	12114788	69466278
297	12159816	69449689
298	12195114	69377558
299	12234469	69328657
300	12277299	69299441
301	12321669	69278790
302	12365236	69253486
303	12410779	69239087
304	12459426	69241729
305	12501453	69207395
306	12538266	69144250
307	12580901	69113265
308	12621741	69072377
309	12659764	69016137
310	12702177	68983852
311	12741683	68935774
312	12785558	68911299
313	12831818	68899509
314	12871805	68853945
315	12912361	68811445
316	12954003	68774725
317	12994759	68733285
318	13036267	68695814
319	13070458	68619906
320	13104516	68543561
321	13145864	68505468
322	13180424	68432111
323	13224074	68406016
324	13263767	68359416
325	13305472	68323191
326	13352772	68315561
327	13387008	68241093
328	13432171	68222367
329	13472016	68176566
330	13511182	68127380
331	13556261	68107966
332	13601543	68089410
333	13650112	68087087
334	13696233	68072326
335	13732283	68007500
336	13775685	67979125
337	13823127	67970527
338	13861823	67918844
339	13909260	67909918
340	13951872	67877290
341	13993267	67838706
342	14034345	67798573
343	14069927	67731978
344	14113180	67702357
345	14148109	67632871
346	14194295	67617205
347	14235449	67577478
348	14280673	67556999
349	14325770	67535774
350	14372777	67523391
351	14409258	67461530
352	14444110	67392211
353	14486912	67360050
354	14526361	67312296
355	14567755	67273567
356	14604004	67211146
357	14643440	67163491
358	14682042	67112064
359	14724630	67078873
360	14758399	67005585
361	14796229	66950894
362	14831225	66883514
363	14871552	66840275
364	14915848	66814826
365	14955596	66768976
366	15003111	66757716
367	15042079	66708353
368	15082702	66666361
369	15125381	66633435
370	15170818	66612569
371	15214321	66583107
372	15254093	66537291
373	15297806	66508647
374	15336189	66456819
