iter	Passed	Remaining
0	5	5035
1	10	5437
2	16	5634
3	22	5497
4	26	5269
5	29	4936
6	33	4801
7	39	4900
8	43	4770
9	48	4781
10	53	4773
11	60	4966
12	66	5023
13	72	5137
14	79	5216
15	84	5198
16	91	5270
17	98	5357
18	106	5492
19	110	5422
20	116	5409
21	122	5439
22	129	5490
23	133	5409
24	136	5342
25	139	5219
26	142	5136
27	146	5092
28	149	5018
29	153	4967
30	160	5014
31	167	5066
32	174	5108
33	181	5150
34	187	5179
35	194	5212
36	203	5285
37	210	5326
38	216	5347
39	223	5361
40	230	5385
41	233	5333
42	236	5266
43	240	5218
44	243	5175
45	247	5126
46	250	5083
47	253	5035
48	256	4974
49	260	4943
50	264	4925
51	271	4952
52	278	4976
53	284	4987
54	292	5026
55	298	5038
56	305	5046
57	311	5051
58	318	5078
59	325	5093
60	331	5098
61	335	5080
62	339	5044
63	342	5003
64	345	4963
65	346	4901
66	347	4842
67	348	4782
68	352	4760
69	355	4720
70	357	4679
71	359	4633
72	362	4603
73	365	4577
74	366	4525
75	368	4475
76	369	4426
77	370	4379
78	371	4333
79	372	4289
80	373	4242
81	374	4195
82	375	4149
83	376	4106
84	377	4064
85	378	4024
86	380	3987
87	381	3949
88	382	3912
89	448	4536
90	459	4589
91	464	4580
92	465	4541
93	466	4497
94	467	4453
95	470	4428
96	475	4429
97	480	4418
98	484	4409
99	487	4389
100	491	4373
101	496	4367
102	497	4333
103	500	4309
104	503	4293
105	507	4284
106	512	4278
107	515	4259
108	522	4269
109	525	4250
110	531	4259
111	534	4235
112	540	4243
113	546	4245
114	549	4230
115	555	4233
116	559	4225
117	563	4213
118	567	4204
119	570	4182
120	574	4175
121	579	4170
122	584	4164
123	586	4145
124	589	4129
125	592	4107
126	595	4090
127	599	4084
128	603	4073
129	605	4051
130	611	4057
131	616	4051
132	621	4054
133	625	4044
134	626	4016
135	630	4003
136	635	4006
137	640	4001
138	641	3974
139	642	3947
140	643	3920
141	650	3928
142	654	3920
143	657	3909
144	664	3918
145	667	3907
146	673	3908
147	681	3923
148	685	3914
149	690	3915
150	697	3921
151	699	3904
152	702	3886
153	704	3869
154	706	3853
155	711	3847
156	713	3831
157	715	3813
158	718	3801
159	723	3796
160	727	3790
161	733	3796
162	737	3788
163	740	3775
164	743	3761
165	750	3770
166	753	3759
167	759	3762
168	762	3749
169	768	3751
170	773	3749
171	779	3752
172	783	3747
173	787	3737
174	796	3755
175	800	3748
176	805	3744
177	810	3743
178	815	3739
179	819	3733
180	823	3723
181	828	3725
182	834	3725
183	839	3721
184	843	3715
185	847	3707
186	851	3700
187	854	3689
188	861	3696
189	868	3704
190	876	3713
191	883	3719
192	891	3728
193	896	3725
194	900	3717
195	905	3713
196	910	3711
197	915	3706
198	917	3692
199	921	3685
200	925	3677
201	928	3669
202	933	3663
203	937	3657
204	941	3650
205	944	3639
206	947	3630
207	950	3617
208	952	3603
209	956	3597
210	959	3589
211	962	3579
212	966	3572
213	971	3567
214	974	3558
215	978	3550
216	982	3545
217	985	3533
218	988	3523
219	991	3514
220	997	3514
221	1001	3510
222	1006	3505
223	1007	3491
224	1014	3493
225	1020	3495
226	1024	3487
227	1028	3482
228	1032	3477
229	1035	3467
230	1043	3472
231	1048	3470
232	1051	3460
233	1055	3456
234	1058	3447
235	1064	3444
236	1070	3444
237	1076	3445
238	1080	3441
239	1084	3433
240	1087	3425
241	1094	3428
242	1098	3422
243	1102	3415
244	1109	3417
245	1112	3408
246	1117	3407
247	1122	3402
248	1125	3395
249	1129	3388
250	1132	3378
251	1138	3378
252	1143	3376
253	1147	3371
254	1150	3361
255	1153	3353
256	1157	3346
257	1161	3341
258	1164	3332
259	1167	3322
260	1176	3330
261	1182	3331
262	1187	3326
263	1195	3332
264	1197	3320
265	1200	3312
266	1205	3308
267	1210	3306
268	1215	3303
269	1216	3289
270	1223	3290
271	1228	3289
272	1238	3298
273	1243	3296
274	1247	3287
275	1248	3274
276	1249	3261
277	1257	3266
278	1264	3268
279	1291	3320
280	1300	3327
281	1305	3324
282	1308	3314
283	1312	3308
284	1316	3303
285	1322	3301
286	1325	3294
287	1329	3285
288	1331	3275
289	1337	3273
290	1340	3267
291	1344	3260
292	1347	3250
293	1351	3245
294	1355	3239
295	1358	3231
296	1364	3228
297	1369	3225
298	1373	3220
299	1380	3220
300	1383	3213
301	1386	3204
302	1389	3196
303	1394	3192
304	1398	3186
305	1405	3188
306	1409	3181
307	1414	3177
308	1419	3173
309	1424	3169
310	1426	3159
311	1430	3153
312	1433	3147
313	1441	3148
314	1445	3143
315	1448	3136
316	1454	3134
317	1461	3134
318	1466	3130
319	1473	3131
320	1479	3128
321	1482	3120
322	1485	3113
323	1489	3106
324	1492	3099
325	1495	3092
326	1497	3081
327	1501	3075
328	1505	3069
329	1507	3061
330	1512	3056
331	1515	3049
332	1520	3045
333	1526	3043
334	1529	3036
335	1537	3037
336	1542	3034
337	1547	3031
338	1553	3029
339	1557	3023
340	1560	3015
341	1562	3006
342	1566	3001
343	1571	2997
344	1576	2992
345	1581	2989
346	1587	2988
347	1594	2987
348	1596	2977
349	1600	2972
350	1604	2967
351	1611	2965
352	1616	2962
353	1621	2959
354	1628	2958
355	1634	2956
356	1637	2949
357	1643	2946
358	1646	2940
359	1649	2932
360	1653	2926
361	1657	2920
362	1660	2914
363	1663	2907
364	1668	2902
365	1673	2899
366	1677	2893
367	1683	2891
368	1689	2888
369	1695	2887
370	1705	2890
371	1711	2889
372	1716	2885
373	1721	2882
374	1728	2880
375	1732	2875
376	1736	2869
377	1740	2864
378	1744	2858
379	1749	2854
380	1755	2851
381	1760	2848
382	1765	2844
383	1770	2839
384	1775	2835
385	1780	2832
386	1786	2829
387	1791	2825
388	1797	2822
389	1803	2820
390	1808	2816
391	1813	2813
392	1819	2810
393	1825	2807
394	1830	2803
395	1835	2800
396	1840	2795
397	1846	2793
398	1852	2789
399	1856	2785
400	1862	2782
401	1869	2780
402	1874	2776
403	1879	2773
404	1885	2769
405	1890	2765
406	1893	2759
407	1898	2755
408	1903	2750
409	1910	2749
410	1915	2745
411	1920	2741
412	1925	2736
413	1931	2733
414	1935	2728
415	1941	2725
416	1945	2719
417	1950	2715
418	1956	2712
419	1962	2710
420	1969	2708
421	1975	2706
422	1979	2700
423	1985	2697
424	1989	2692
425	1994	2687
426	1998	2681
427	2003	2677
428	2008	2673
429	2011	2666
430	2014	2659
431	2016	2651
432	2022	2648
433	2027	2643
434	2030	2637
435	2035	2633
436	2041	2630
437	2050	2630
438	2056	2627
439	2061	2623
440	2065	2618
441	2068	2611
442	2073	2606
443	2077	2601
444	2081	2596
445	2086	2591
446	2091	2587
447	2096	2582
448	2099	2576
449	2102	2569
450	2105	2563
451	2110	2558
452	2112	2551
453	2117	2546
454	2123	2543
455	2125	2535
456	2127	2527
457	2130	2520
458	2132	2513
459	2135	2506
460	2139	2501
461	2144	2497
462	2148	2491
463	2151	2485
464	2157	2482
465	2162	2477
466	2167	2473
467	2171	2468
468	2175	2463
469	2180	2458
470	2182	2451
471	2190	2450
472	2196	2447
473	2201	2443
474	2208	2440
475	2214	2437
476	2222	2436
477	2227	2432
478	2232	2428
479	2238	2424
480	2241	2418
481	2245	2413
482	2250	2409
483	2255	2404
484	2261	2400
485	2267	2397
486	2273	2395
487	2279	2391
488	2282	2385
489	2286	2379
490	2288	2372
491	2292	2366
492	2299	2364
493	2303	2359
494	2306	2353
495	2313	2350
496	2317	2345
497	2319	2338
498	2323	2332
499	2329	2329
500	2332	2323
501	2338	2319
502	2344	2316
503	2346	2309
504	2349	2303
505	2353	2297
506	2355	2290
507	2358	2284
508	2362	2279
509	2368	2275
510	2373	2271
511	2379	2268
512	2387	2266
513	2391	2261
514	2395	2256
515	2401	2252
516	2407	2248
517	2411	2244
518	2417	2240
519	2423	2236
520	2428	2232
521	2435	2229
522	2439	2225
523	2446	2222
524	2448	2215
525	2451	2209
526	2455	2203
527	2458	2197
528	2461	2191
529	2469	2189
530	2472	2183
531	2476	2178
532	2484	2176
533	2486	2170
534	2493	2167
535	2495	2160
536	2502	2157
537	2508	2154
538	2514	2150
539	2519	2146
540	2522	2140
541	2524	2133
542	2529	2129
543	2535	2125
544	2539	2120
545	2543	2114
546	2549	2111
547	2554	2106
548	2560	2103
549	2563	2097
550	2569	2093
551	2575	2089
552	2580	2085
553	2583	2079
554	2586	2074
555	2592	2070
556	2597	2065
557	2601	2060
558	2602	2052
559	2604	2046
560	2607	2040
561	2614	2037
562	2617	2031
563	2620	2025
564	2627	2022
565	2632	2018
566	2637	2014
567	2641	2008
568	2644	2002
569	2646	1996
570	2647	1989
571	2654	1986
572	2661	1983
573	2665	1978
574	2670	1973
575	2676	1969
576	2678	1963
577	2680	1957
578	2683	1950
579	2685	1945
580	2691	1941
581	2693	1934
582	2695	1928
583	2699	1922
584	2704	1918
585	2709	1914
586	2714	1910
587	2719	1905
588	2723	1900
589	2727	1895
590	2730	1889
591	2734	1884
592	2737	1879
593	2740	1873
594	2743	1867
595	2749	1863
596	2754	1859
597	2758	1854
598	2763	1850
599	2769	1846
600	2775	1842
601	2781	1838
602	2786	1834
603	2791	1829
604	2794	1824
605	2798	1819
606	2800	1813
607	2803	1807
608	2808	1803
609	2813	1798
610	2819	1794
611	2821	1789
612	2825	1783
613	2829	1778
614	2831	1772
615	2835	1767
616	2841	1763
617	2847	1760
618	2853	1756
619	2858	1752
620	2866	1749
621	2871	1745
622	2873	1738
623	2876	1733
624	2880	1728
625	2883	1722
626	2891	1719
627	2895	1715
628	2903	1712
629	2908	1708
630	2912	1703
631	2916	1698
632	2919	1692
633	2922	1686
634	2926	1682
635	2930	1677
636	2935	1672
637	2938	1667
638	2944	1663
639	2949	1659
640	2956	1655
641	2963	1652
642	2968	1647
643	2974	1644
644	2979	1639
645	2986	1636
646	2989	1631
647	2993	1625
