iter	Logloss
0	0.6922445977
1	0.6914121147
2	0.6905847737
3	0.6897910344
4	0.6890394975
5	0.688362953
6	0.6877515431
7	0.6870119732
8	0.6862157791
9	0.6856595247
10	0.6850756051
11	0.684558348
12	0.6840375922
13	0.6836476117
14	0.6830334007
15	0.6824798399
16	0.6820194555
17	0.681432667
18	0.6809943355
19	0.680389378
20	0.6798856093
21	0.6794042463
22	0.6789765795
23	0.678532046
24	0.6781652154
25	0.6777419291
26	0.6773989882
27	0.6770071761
28	0.6766213059
29	0.6762922975
30	0.6759108334
31	0.6755163246
32	0.6751173018
33	0.6748176143
34	0.6744780309
35	0.6741607062
36	0.6738419821
37	0.6736363158
38	0.6733817004
39	0.673083263
40	0.6728862518
41	0.6726262379
42	0.6723648318
43	0.6720894873
44	0.671917186
45	0.6716686848
46	0.6713829341
47	0.6712131267
48	0.6710190163
49	0.6707055976
50	0.6704921518
51	0.6702724527
52	0.6702042045
53	0.669978732
54	0.6697766528
55	0.6695125299
56	0.6692859522
57	0.6691260918
58	0.6689538806
59	0.6687494136
60	0.6685751222
61	0.6684180643
62	0.6682309369
63	0.6680444297
64	0.6678675343
65	0.667748738
66	0.6675966315
67	0.6674734491
68	0.6673480963
69	0.667199332
70	0.6670065984
71	0.6668572402
72	0.6667365137
73	0.6665944243
74	0.6664842468
75	0.6663403032
76	0.6662370455
77	0.6662080943
78	0.6660570723
79	0.6659491775
80	0.665860943
81	0.6657651674
82	0.665695551
83	0.6656051439
84	0.66547615
85	0.6653980018
86	0.6652860117
87	0.6651683641
88	0.6650891277
89	0.6649863226
90	0.664945132
91	0.6648413376
92	0.6647547475
93	0.6646643137
94	0.6645491273
95	0.6644656364
96	0.6644014157
97	0.6643311368
98	0.664268595
99	0.6641484525
100	0.6640532577
101	0.6639365623
102	0.6638480994
103	0.6637736459
104	0.6636898156
105	0.6635978654
106	0.6634913781
107	0.6634058766
108	0.6633294218
109	0.6632619036
110	0.6632039606
111	0.6631404205
112	0.663080161
113	0.6629598516
114	0.662908949
115	0.6628681735
116	0.6627847326
117	0.6627421859
118	0.6626347296
119	0.6625518828
120	0.6624813457
121	0.6623990251
122	0.6623562954
123	0.6623046419
124	0.6622501353
125	0.6622388838
126	0.6622198837
127	0.6622025653
128	0.6621565745
129	0.6621099088
130	0.6620945111
131	0.6620318195
132	0.6620202747
133	0.6619508419
134	0.6618838073
135	0.6618704199
136	0.661824351
137	0.6617746391
138	0.6617103648
139	0.6616644616
140	0.6615775607
141	0.6615210131
142	0.6614838071
143	0.661407255
144	0.6613488746
145	0.6613211113
146	0.6612473712
147	0.6611904193
148	0.6611453971
149	0.6611124115
150	0.6610922511
151	0.6610805982
152	0.6610063172
153	0.6609525723
154	0.6609180148
155	0.6608688346
156	0.6608246567
157	0.6607750693
158	0.6607337551
159	0.6606506463
160	0.6605999141
161	0.6605643561
162	0.6605028436
163	0.6604620257
164	0.6604009462
165	0.6603597758
166	0.6603345146
167	0.6603216438
168	0.6602655899
169	0.6602215719
170	0.660179373
171	0.6601382052
172	0.6600717942
173	0.6600254258
174	0.6599792521
175	0.6599393981
176	0.6598898594
177	0.6598231963
178	0.6597957531
179	0.6597524877
180	0.6596991871
181	0.6596558669
182	0.6596229492
183	0.6596229518
184	0.6595859809
185	0.6595812368
186	0.6595424935
187	0.6594784395
188	0.6594127439
189	0.6593774204
190	0.6593640737
191	0.6593246627
192	0.6592394336
193	0.6591773034
194	0.6591393579
195	0.6590939955
196	0.6590176008
197	0.6589810851
198	0.6589396927
199	0.6588980524
200	0.6588652205
201	0.6588442291
202	0.6588380589
203	0.6587922989
204	0.6587541527
205	0.658697945
206	0.6586725594
207	0.6586541639
208	0.6586097099
209	0.658568983
210	0.6585516134
211	0.6585177176
212	0.6584969505
213	0.6584359301
214	0.6584318607
215	0.658384951
216	0.658340193
217	0.6582570916
218	0.6582328069
219	0.6582186555
220	0.6581970806
221	0.6581601998
222	0.6581314547
223	0.6581149119
224	0.6580731636
225	0.6580599462
226	0.6580317651
