iter	Passed	Remaining
0	36	55405
1	57	42992
2	86	43308
3	132	49434
4	185	55324
5	235	58592
6	272	58163
7	313	58529
8	361	59834
9	411	61378
10	447	60627
11	486	60291
12	521	59636
13	549	58276
14	582	57649
15	616	57216
16	653	56990
17	689	56745
18	729	56833
19	770	56982
20	810	57079
21	852	57304
22	888	57082
23	923	56779
24	961	56727
25	997	56562
26	1036	56543
27	1078	56719
28	1103	55959
29	1137	55730
30	1176	55731
31	1232	56534
32	1260	56045
33	1282	55319
34	1317	55152
35	1359	55279
36	1399	55347
37	1435	55218
38	1473	55205
39	1492	54473
40	1538	54754
41	1570	54502
42	1606	54425
43	1645	54442
44	1684	54454
45	1718	54314
46	1753	54201
47	1783	53938
48	1811	53629
49	1843	53453
50	1873	53232
51	1906	53083
52	1939	52954
53	1969	52750
54	2001	52586
55	2040	52628
56	2075	52549
57	2110	52477
58	2153	52602
59	2185	52447
60	2222	52425
61	2258	52371
62	2298	52421
63	2332	52346
64	2365	52217
65	2406	52288
66	2441	52208
67	2472	52073
68	2495	51761
69	2527	51633
70	2544	51204
71	2575	51086
72	2607	50977
73	2642	50927
74	2675	50828
75	2705	50687
76	2737	50598
77	2763	50375
78	2781	50037
79	2810	49891
80	2844	49838
81	2862	49504
82	2902	49556
83	2940	49568
84	2981	49631
85	3019	49639
86	3055	49617
87	3089	49579
88	3121	49491
89	3164	49578
90	3196	49487
91	3212	49169
92	3247	49131
93	3278	49039
94	3323	49156
95	3370	49287
96	3421	49487
97	3469	49629
98	3514	49735
99	3556	49794
100	3583	49635
101	3636	49838
102	3695	50121
103	3736	50158
104	3752	49859
105	3798	49954
106	3833	49902
107	3871	49893
108	3917	49993
109	3956	49992
110	3987	49893
111	4027	49915
112	4065	49895
113	4091	49745
114	4130	49739
115	4159	49627
116	4196	49602
117	4211	49329
118	4260	49440
119	4280	49229
120	4320	49237
121	4353	49171
122	4399	49257
123	4436	49227
124	4470	49174
125	4503	49109
126	4541	49098
127	4581	49111
128	4620	49101
129	4655	49063
130	4691	49027
131	4743	49165
132	4779	49128
133	4818	49123
134	4853	49075
135	4890	49052
136	4944	49196
137	4989	49244
138	5028	49236
139	5072	49272
140	5108	49241
141	5157	49321
142	5194	49295
143	5244	49381
144	5282	49365
145	5323	49370
146	5376	49485
147	5424	49550
148	5462	49525
149	5490	49412
150	5538	49475
151	5555	49265
152	5574	49077
153	5629	49202
154	5667	49177
155	5717	49258
156	5757	49246
157	5781	49102
158	5814	49042
159	5847	48971
160	5874	48854
161	5901	48740
162	5930	48645
163	5974	48669
164	6008	48618
165	6057	48681
166	6098	48677
167	6124	48560
168	6171	48601
169	6210	48591
170	6263	48679
171	6303	48671
172	6347	48685
173	6380	48626
174	6458	48903
175	6508	48962
176	6544	48915
177	6588	48934
178	6625	48898
179	6660	48840
180	6699	48823
181	6736	48786
182	6772	48743
183	6787	48546
184	6819	48471
185	6854	48421
186	6890	48378
187	6943	48458
188	6975	48385
189	7011	48339
190	7025	48148
191	7059	48093
192	7093	48035
193	7129	47996
194	7143	47807
195	7174	47731
196	7208	47677
197	7246	47648
198	7281	47602
199	7316	47556
200	7347	47481
201	7384	47450
202	7423	47431
203	7458	47385
204	7493	47334
205	7528	47290
206	7567	47267
207	7587	47133
208	7627	47112
209	7660	47057
210	7692	46995
211	7722	46915
212	7756	46869
213	7791	46819
214	7821	46748
215	7873	46802
216	7902	46723
217	7947	46735
218	7975	46649
219	8002	46559
220	8038	46518
221	8075	46491
222	8125	46530
223	8161	46488
224	8207	46511
225	8222	46351
226	8267	46366
227	8304	46328
228	8347	46330
229	8383	46289
230	8419	46252
231	8467	46280
232	8504	46245
233	8561	46320
234	8606	46331
235	8640	46277
236	8687	46296
237	8723	46255
238	8764	46240
239	8798	46191
240	8844	46205
241	8879	46160
242	8916	46122
243	8962	46134
244	8992	46065
245	9057	46171
246	9091	46120
247	9133	46108
248	9167	46060
249	9186	45930
250	9221	45885
251	9262	45871
252	9298	45832
253	9328	45759
254	9361	45708
255	9398	45669
256	9424	45583
257	9463	45555
258	9494	45490
259	9527	45436
260	9561	45390
261	9604	45385
262	9615	45227
263	9651	45185
264	9698	45199
265	9735	45161
266	9775	45143
267	9806	45081
268	9838	45021
269	9870	44963
270	9907	44929
271	9940	44879
272	9972	44821
273	10007	44775
274	10038	44718
275	10078	44695
276	10109	44635
277	10138	44563
278	10169	44503
279	10206	44470
280	10242	44432
281	10275	44381
282	10308	44328
283	10337	44260
284	10371	44214
285	10401	44150
286	10428	44077
287	10454	43995
288	10488	43951
289	10535	43960
290	10569	43914
291	10618	43930
292	10660	43914
293	10711	43938
294	10745	43892
295	10798	43924
296	10834	43883
297	10847	43752
298	10879	43699
299	10914	43658
300	10957	43646
301	10995	43617
302	11029	43570
303	11064	43530
304	11100	43492
305	11133	43443
306	11176	43433
307	11217	43412
308	11247	43351
309	11300	43380
310	11314	43257
311	11350	43218
312	11425	43330
313	11463	43296
314	11502	43272
315	11538	43231
316	11582	43225
317	11619	43189
318	11655	43151
319	11703	43157
320	11754	43172
321	11789	43131
322	11851	43186
323	11879	43116
324	11902	43032
325	11950	43036
326	11995	43031
327	12040	43021
328	12083	43008
329	12134	43023
330	12180	43018
331	12214	42972
332	12247	42921
333	12275	42854
334	12306	42798
335	12347	42775
336	12401	42799
337	12437	42757
338	12472	42716
339	12496	42633
340	12530	42589
341	12566	42550
342	12601	42507
343	12636	42465
344	12670	42417
345	12709	42389
346	12751	42370
347	12772	42281
348	12805	42233
349	12836	42175
350	12887	42185
351	12938	42197
352	12959	42110
353	13000	42085
354	13041	42062
355	13079	42032
356	13115	41992
357	13150	41947
358	13181	41893
359	13213	41843
360	13253	41814
361	13285	41764
362	13328	41746
363	13357	41687
364	13375	41592
365	13413	41561
366	13450	41523
367	13482	41474
368	13520	41440
369	13554	41397
370	13591	41361
371	13623	41311
372	13656	41262
373	13691	41220
374	13723	41171
375	13757	41127
376	13794	41090
377	13828	41046
378	13858	40989
379	13891	40943
380	13926	40902
381	13956	40846
382	13990	40803
383	14024	40758
384	14059	40717
385	14094	40675
386	14108	40574
387	14132	40503
388	14162	40449
389	14179	40356
390	14215	40318
391	14248	40274
392	14281	40227
393	14319	40197
394	14355	40158
395	14367	40055
396	14403	40018
397	14436	39972
398	14470	39928
399	14498	39871
400	14529	39820
401	14564	39780
402	14598	39737
403	14628	39685
404	14652	39616
405	14688	39580
406	14721	39535
407	14736	39442
408	14770	39399
409	14805	39361
410	14847	39341
411	14882	39301
412	14915	39257
413	14948	39212
414	14983	39172
415	15016	39129
416	15064	39123
417	15103	39094
418	15143	39070
419	15183	39043
420	15224	39019
421	15254	38967
422	15284	38916
423	15322	38883
424	15360	38854
425	15404	38835
426	15429	38771
427	15468	38744
428	15512	38728
429	15555	38708
430	15597	38687
431	15632	38647
432	15664	38600
433	15705	38577
434	15720	38489
435	15756	38452
436	15798	38428
437	15838	38401
438	15909	38451
439	15943	38408
440	15977	38368
441	16010	38324
442	16052	38301
443	16085	38257
444	16122	38222
445	16162	38196
446	16197	38157
447	16229	38110
448	16268	38080
449	16307	38051
450	16326	37973
451	16363	37939
452	16399	37903
453	16433	37862
454	16470	37827
455	16494	37763
456	16532	37732
457	16575	37711
458	16620	37695
459	16658	37662
460	16696	37631
461	16728	37584
462	16763	37546
463	16807	37526
464	16840	37483
465	16880	37455
466	16940	37471
467	16973	37428
468	17011	37396
469	17044	37353
470	17078	37311
471	17087	37216
472	17126	37185
473	17160	37144
474	17180	37073
475	17215	37035
476	17247	36990
477	17274	36934
478	17302	36879
479	17335	36838
480	17371	36802
481	17409	36769
482	17442	36727
483	17451	36633
484	17484	36591
485	17518	36550
486	17549	36504
487	17579	36456
488	17612	36414
489	17646	36372
490	17660	36292
491	17698	36260
492	17733	36223
493	17769	36185
494	17802	36143
495	17835	36103
496	17871	36066
497	17898	36013
498	17932	35973
499	17973	35946
500	18009	35911
501	18045	35874
502	18069	35815
503	18088	35745
504	18178	35817
505	18211	35774
506	18252	35748
507	18290	35717
508	18327	35683
509	18382	35684
510	18413	35637
511	18445	35594
512	18484	35564
513	18520	35528
514	18559	35496
515	18600	35470
516	18642	35445
517	18699	35449
518	18755	35450
519	18777	35387
520	18812	35350
521	18851	35318
522	18890	35288
523	18927	35255
524	18969	35228
525	19024	35228
526	19078	35225
527	19125	35209
528	19141	35134
529	19180	35104
530	19226	35085
531	19256	35038
532	19293	35002
533	19333	34973
534	19370	34940
535	19407	34904
536	19426	34837
537	19469	34813
538	19503	34772
539	19544	34745
540	19583	34714
541	19638	34711
542	19709	34737
543	19765	34734
544	19785	34670
545	19826	34641
546	19859	34598
547	19900	34572
548	19936	34535
549	19974	34501
550	20042	34518
551	20086	34496
552	20132	34475
553	20166	34436
554	20203	34400
555	20250	34382
556	20292	34355
557	20333	34327
558	20372	34295
559	20422	34280
560	20458	34244
561	20497	34210
562	20533	34174
563	20567	34134
564	20605	34099
565	20715	34184
566	20781	34196
567	20830	34178
568	20869	34146
569	20913	34121
570	20952	34089
571	20988	34051
572	21023	34011
573	21062	33978
574	21108	33957
575	21177	33971
576	21211	33931
577	21244	33887
578	21276	33844
579	21322	33822
580	21363	33791
581	21398	33752
582	21430	33708
583	21465	33669
584	21499	33626
585	21536	33590
586	21567	33545
587	21602	33505
588	21640	33471
589	21679	33438
590	21717	33403
591	21753	33365
592	21785	33321
593	21828	33293
594	21869	33263
595	21903	33223
596	21947	33196
597	22002	33187
598	22042	33155
599	22079	33118
600	22113	33078
601	22150	33041
602	22196	33018
603	22231	32978
604	22266	32939
605	22311	32914
606	22350	32881
607	22386	32843
608	22424	32808
609	22473	32788
610	22507	32748
611	22542	32708
612	22585	32680
613	22626	32649
614	22676	32632
615	22709	32590
616	22749	32557
617	22782	32514
618	22824	32484
619	22861	32448
620	22897	32410
621	22939	32380
622	22999	32377
623	23046	32354
624	23087	32321
625	23125	32287
626	23163	32251
627	23213	32233
628	23277	32232
629	23324	32210
630	23375	32192
631	23420	32165
632	23473	32150
633	23522	32129
634	23565	32101
635	23611	32075
636	23667	32063
637	23780	32130
638	23850	32136
639	23898	32113
640	23941	32084
641	23980	32048
642	24041	32042
643	24116	32055
644	24161	32027
645	24203	31996
646	24245	31964
647	24295	31944
648	24347	31925
649	24392	31898
650	24437	31870
651	24486	31846
652	24530	31818
653	24574	31789
654	24614	31754
655	24661	31728
656	24707	31702
657	24754	31676
658	24793	31641
659	24831	31603
660	24870	31567
661	24908	31531
662	24947	31495
663	24991	31464
664	25031	31430
665	25069	31393
666	25113	31364
667	25150	31325
668	25189	31288
669	25225	31249
670	25269	31219
671	25307	31182
672	25364	31168
673	25402	31131
674	25446	31101
675	25482	31061
676	25515	31018
677	25548	30974
678	25586	30936
679	25632	30909
680	25670	30872
681	25710	30837
682	25749	30801
683	25790	30767
684	25834	30736
685	25872	30700
686	25909	30661
687	25945	30621
688	25977	30577
689	26011	30535
690	26045	30493
691	26079	30451
692	26116	30413
693	26156	30377
694	26192	30337
695	26226	30295
696	26261	30255
697	26298	30217
698	26335	30177
699	26378	30146
700	26425	30120
701	26470	30090
702	26515	30061
703	26555	30025
704	26592	29987
705	26632	29952
706	26667	29911
707	26701	29869
708	26734	29826
709	26766	29782
710	26799	29739
711	26833	29697
712	26876	29665
713	26918	29633
714	26957	29597
715	26996	29560
716	27036	29525
717	27078	29491
718	27117	29455
719	27154	29417
720	27190	29378
721	27231	29343
722	27272	29309
723	27320	29282
724	27360	29247
725	27419	29232
726	27460	29197
727	27499	29161
728	27539	29126
729	27577	29088
730	27614	29049
731	27655	29015
732	27695	28980
733	27733	28943
734	27774	28908
735	27815	28873
736	27861	28844
737	27901	28808
738	27942	28774
739	27991	28747
740	28033	28714
741	28076	28681
742	28121	28651
743	28170	28624
744	28213	28592
745	28259	28563
746	28305	28533
747	28350	28502
748	28394	28470
749	28427	28427
750	28467	28391
751	28509	28357
752	28553	28326
753	28601	28298
754	28646	28266
755	28693	28237
756	28731	28199
757	28767	28159
758	28798	28115
759	28836	28077
760	28870	28035
761	28905	27995
762	28941	27955
763	28979	27917
764	29013	27875
765	29050	27836
766	29087	27797
767	29121	27756
768	29156	27715
769	29191	27675
770	29225	27633
771	29263	27595
772	29298	27555
773	29339	27520
774	29383	27487
775	29422	27450
776	29465	27417
777	29504	27380
778	29550	27349
779	29587	27311
780	29624	27272
781	29655	27228
782	29687	27184
783	29721	27143
784	29777	27122
785	29825	27093
786	29871	27062
787	29914	27029
788	29957	26995
789	30005	26966
790	30045	26931
791	30083	26892
792	30121	26855
793	30157	26814
794	30195	26776
