iter	Logloss
0	0.6737483267
1	0.6556188383
2	0.6388980453
3	0.6234445668
4	0.6087847456
5	0.5952538465
6	0.5830213835
7	0.5712048287
8	0.5599838171
9	0.5496958082
10	0.540146435
11	0.5312864714
12	0.522861544
13	0.5151711404
14	0.5079650924
15	0.5013097663
16	0.494988504
17	0.4891624956
18	0.4834649121
19	0.4782119085
20	0.4736241264
21	0.4689920539
22	0.4646295362
23	0.460889181
24	0.4570877361
25	0.4536411264
26	0.450281731
27	0.4472885543
28	0.4446908212
29	0.4419842404
30	0.4394061109
31	0.4371434788
32	0.4349274108
33	0.4327728606
34	0.4308946032
35	0.4290528961
36	0.4273959928
37	0.4258312184
38	0.4242856284
39	0.4229000168
40	0.4216378127
41	0.4204277237
42	0.4192689716
43	0.4181390073
44	0.4170677683
45	0.4160891356
46	0.415160725
47	0.4144546526
48	0.413674736
49	0.412903637
50	0.4122230667
51	0.4114990032
52	0.4108669487
53	0.4102803242
54	0.4097238071
55	0.409284342
56	0.4087202597
57	0.4082135255
58	0.4078014072
59	0.4074007499
60	0.4069934256
61	0.4066075826
62	0.4062097071
63	0.4058215537
64	0.4054429289
65	0.4050847734
66	0.4047856801
67	0.4044772995
68	0.404236465
69	0.4039624794
70	0.4036760047
71	0.403414576
72	0.4031926619
73	0.4029279341
74	0.4026741982
75	0.4024547753
76	0.4022497315
77	0.4020337953
78	0.4018373816
79	0.4016651683
80	0.4014885061
81	0.4013017736
82	0.4011205346
83	0.4009583022
84	0.4008119238
85	0.4006937769
86	0.4005842097
87	0.400435243
88	0.4002737976
89	0.4001822004
90	0.4000626396
91	0.3999316339
92	0.3998544122
93	0.3997661962
94	0.3996546116
95	0.3995479776
96	0.3994566327
97	0.399357122
98	0.399266482
99	0.3991733811
100	0.3990762233
101	0.3989938405
102	0.3989345019
103	0.398852759
104	0.3987857721
105	0.3987186671
106	0.3986353816
107	0.3985949726
108	0.3985248602
109	0.398458287
110	0.3984027678
111	0.3983310879
112	0.3982648762
113	0.3981874963
114	0.3981074447
115	0.3980638816
116	0.3980165332
117	0.39797647
118	0.3979348435
119	0.3978850599
120	0.3978172476
121	0.3977786296
122	0.3977224208
123	0.3976807235
124	0.3976185517
125	0.3975844274
126	0.3975535281
127	0.3974964102
128	0.3974594096
129	0.3974187427
130	0.3973863252
131	0.3973490153
132	0.3973172059
133	0.3972713712
134	0.3972303776
135	0.3971950602
136	0.3971622577
137	0.3971192731
138	0.3970864267
139	0.3970642328
140	0.3970344161
141	0.3970075751
142	0.3969824102
143	0.3969375095
144	0.3969095422
145	0.3968739091
146	0.3968303332
147	0.3968089043
148	0.3967896219
149	0.3967619572
150	0.3967353957
151	0.3966948657
152	0.3966579189
153	0.3966356718
154	0.3966139966
155	0.3965902854
156	0.3965568671
157	0.3965226231
158	0.3965007082
159	0.3964735569
160	0.396454914
161	0.3964285243
162	0.3964058351
163	0.3963828308
164	0.3963604613
165	0.3963386582
166	0.396309551
167	0.3962899816
168	0.3962686475
169	0.3962467388
170	0.396224018
171	0.3962008354
172	0.3961766888
173	0.3961530771
174	0.3961409276
175	0.3961219052
176	0.3961053981
177	0.3960873948
178	0.3960635632
179	0.3960478657
180	0.39602532
181	0.3960051513
182	0.3959906659
183	0.3959701909
184	0.3959533255
185	0.3959446791
186	0.3959201323
187	0.3959005786
188	0.3958876085
189	0.3958747684
190	0.3958579214
191	0.3958412403
192	0.3958291711
193	0.3958075427
194	0.39578827
195	0.3957691355
196	0.3957500365
197	0.3957333153
198	0.3957196662
199	0.3956931261
200	0.3956818559
201	0.3956708799
202	0.3956489519
203	0.3956289099
204	0.3956085812
205	0.3955951856
206	0.3955799279
207	0.3955634107
208	0.3955514105
