iter	Passed	Remaining
0	25	38497
1	47	35399
2	71	35719
3	92	34663
4	114	34100
5	136	33885
6	156	33441
7	179	33421
8	200	33218
9	224	33384
10	248	33662
11	270	33506
12	293	33610
13	315	33509
14	336	33265
15	357	33163
16	381	33243
17	402	33100
18	423	32994
19	447	33109
20	470	33102
21	490	32968
22	512	32882
23	534	32897
24	556	32835
25	579	32835
26	598	32668
27	621	32649
28	639	32436
29	662	32451
30	682	32346
31	704	32324
32	725	32242
33	746	32185
34	770	32241
35	790	32127
36	810	32062
37	834	32089
38	853	31983
39	872	31853
40	892	31767
41	912	31689
42	931	31576
43	953	31552
44	974	31499
45	993	31410
46	1013	31347
47	1035	31333
48	1054	31220
49	1074	31161
50	1095	31135
51	1116	31084
52	1137	31043
53	1157	30991
54	1180	31010
55	1200	30945
56	1219	30870
57	1238	30788
58	1260	30779
59	1285	30851
60	1303	30750
61	1324	30730
62	1345	30684
63	1364	30611
64	1387	30633
65	1408	30599
66	1429	30578
67	1449	30533
68	1468	30457
69	1489	30420
70	1508	30353
71	1526	30265
72	1547	30253
73	1568	30228
74	1588	30180
75	1609	30151
76	1628	30087
77	1649	30080
78	1670	30055
79	1692	30040
80	1712	29994
81	1731	29943
82	1751	29898
83	1770	29852
84	1789	29792
85	1809	29757
86	1829	29716
87	1850	29692
88	1871	29673
89	1893	29660
90	1915	29653
91	1936	29632
92	1956	29595
93	1978	29587
94	1997	29542
95	2017	29506
96	2037	29468
97	2056	29415
98	2078	29412
99	2099	29398
100	2119	29356
101	2138	29307
102	2158	29274
103	2179	29255
104	2199	29220
105	2219	29190
106	2238	29147
107	2257	29095
108	2276	29057
109	2298	29043
110	2318	29013
111	2337	28970
112	2356	28928
113	2379	28934
114	2403	28949
115	2425	28942
116	2446	28913
117	2470	28935
118	2491	28912
119	2513	28900
120	2532	28866
121	2553	28840
122	2574	28824
123	2593	28780
124	2612	28739
125	2633	28719
126	2656	28716
127	2678	28711
128	2695	28643
129	2717	28636
130	2736	28598
131	2758	28592
132	2781	28584
133	2803	28583
134	2824	28563
135	2844	28530
136	2866	28520
137	2885	28482
138	2904	28436
139	2927	28433
140	2948	28418
141	2968	28392
142	2989	28369
143	3011	28357
144	3032	28340
145	3053	28319
146	3075	28309
147	3097	28294
148	3117	28270
149	3137	28236
150	3157	28206
151	3177	28177
152	3198	28158
153	3215	28106
154	3237	28090
155	3258	28075
156	3280	28060
157	3300	28036
158	3320	28003
159	3339	27966
160	3360	27945
161	3381	27925
162	3400	27889
163	3420	27867
164	3442	27848
165	3463	27832
166	3483	27807
167	3501	27765
168	3523	27748
169	3547	27756
170	3570	27747
171	3589	27714
172	3609	27688
173	3628	27650
174	3649	27629
175	3671	27617
176	3693	27609
177	3715	27596
178	3738	27586
179	3760	27577
180	3781	27557
181	3802	27534
182	3825	27529
183	3845	27503
184	3864	27469
185	3885	27450
186	3905	27425
187	3928	27416
188	3950	27402
189	3973	27397
190	3994	27373
191	4018	27374
192	4040	27362
193	4062	27347
194	4080	27309
195	4101	27284
196	4120	27256
197	4140	27228
198	4162	27211
199	4183	27192
200	4205	27181
201	4225	27151
202	4246	27134
203	4267	27109
204	4285	27074
205	4307	27060
206	4328	27038
207	4350	27024
208	4376	27032
209	4399	27024
210	4422	27015
211	4448	27025
212	4472	27023
213	4495	27014
214	4519	27009
215	4541	26993
216	4564	26986
217	4586	26974
218	4608	26956
219	4663	27131
220	4721	27326
221	4743	27305
222	4763	27279
223	4785	27261
224	4806	27234
225	4826	27208
226	4849	27198
227	4871	27180
228	4894	27167
229	4915	27144
230	4936	27120
231	4958	27102
232	4979	27077
233	5000	27054
234	5021	27032
235	5042	27009
236	5064	26988
237	5085	26964
238	5109	26957
239	5131	26938
240	5152	26914
241	5174	26900
242	5195	26875
243	5220	26873
244	5242	26856
245	5264	26835
246	5284	26809
247	5298	26748
248	5317	26717
249	5339	26699
250	5360	26672
251	5381	26651
252	5399	26611
253	5422	26601
254	5444	26581
255	5463	26551
256	5482	26517
257	5503	26492
258	5525	26473
259	5547	26456
260	5568	26434
261	5590	26418
262	5612	26400
263	5632	26372
264	5653	26348
265	5666	26287
266	5687	26265
267	5707	26236
268	5727	26208
269	5749	26192
270	5770	26168
271	5791	26147
272	5812	26123
273	5835	26110
274	5856	26089
275	5879	26074
276	5900	26053
277	5922	26032
278	5942	26006
279	5961	25975
280	5980	25945
281	6002	25926
282	6021	25893
283	6043	25876
284	6066	25863
285	6086	25837
286	6106	25810
287	6127	25785
288	6147	25758
289	6168	25738
