iter	Passed	Remaining
0	33674	67315946
1	67916	67848278
2	99956	66538032
3	126237	62992724
4	146528	58464943
5	178655	59373173
6	210577	59954404
7	236009	58766371
8	267851	59254768
9	295308	58766336
10	327791	59270741
11	358829	59446144
12	388726	59415286
13	414362	58780313
14	444737	58853605
15	476570	59094800
16	505473	58962001
17	533817	58779246
18	565797	58991782
19	596174	59021243
20	627840	59166487
21	652959	58707033
22	681945	58617691
23	702843	57867452
24	730777	57731383
25	747411	56745815
26	768376	56148378
27	790747	55691244
28	822353	55891676
29	850563	55853643
30	878726	55813329
31	906320	55738687
32	933866	55664098
33	962374	55647906
34	992162	55702855
35	1014609	55352562
36	1036987	55016410
37	1057268	54588450
38	1083504	54480809
39	1113311	54552283
40	1139634	54452306
41	1158917	54027639
42	1186245	53987955
43	1213355	53939155
44	1237450	53760364
45	1250730	53128847
46	1269562	52754392
47	1289572	52442604
48	1321466	52615951
49	1348945	52608890
50	1381126	52780687
51	1405226	52641928
52	1419369	52141736
53	1435180	51719647
54	1452803	51376431
55	1474777	51195854
56	1502189	51206224
57	1518602	50847013
58	1536311	50542046
59	1553940	50244083
60	1579460	50206122
61	1610004	50325613
62	1637570	50348802
63	1663868	50332010
64	1688609	50268616
65	1711509	50152401
66	1739223	50177903
67	1761219	50039348
68	1788681	50057165
69	1808910	49874248
70	1836809	49904309
71	1864775	49934552
72	1893691	49988263
73	1922828	50045520
74	1950515	50063229
75	1970727	49890523
76	1992353	49757087
77	2020964	49798650
78	2050287	49855720
79	2076240	49829775
80	2106838	49913857
81	2129905	49819017
82	2153686	49742370
83	2177545	49668783
84	2207239	49727808
85	2236925	49784604
86	2265608	49817339
87	2291509	49788255
88	2321162	49839799
89	2343160	49727064
90	2371428	49747875
91	2388312	49531518
92	2405365	49322923
93	2431257	49297622
94	2460124	49331963
95	2483315	49252419
96	2508066	49204642
97	2525057	49006724
98	2548311	48932730
99	2574569	48916818
100	2592141	48737401
101	2617712	48709979
102	2633055	48494232
103	2651685	48342272
104	2679049	48350468
105	2706001	48350623
106	2734134	48371177
107	2761045	48369425
108	2788660	48379423
109	2815702	48378882
110	2846479	48441433
111	2869282	48367909
112	2892459	48301510
113	2907686	48104353
114	2923091	47913288
115	2942629	47792361
116	2969924	47798020
117	2999874	47845454
118	3017435	47695759
119	3044044	47690035
120	3061474	47541415
121	3087464	47526710
122	3106903	47411856
123	3131966	47383628
124	3162202	47433034
125	3180462	47303071
126	3207257	47300732
127	3234561	47305459
128	3264364	47345938
129	3289757	47321893
130	3317058	47325051
131	3341864	47292442
132	3359165	47154606
133	3387388	47170643
134	3408474	47087439
135	3430563	47018893
136	3458732	47033716
137	3482960	46994731
138	3509296	46984177
139	3536883	46990021
140	3563478	46982310
141	3589995	46973321
142	3617287	46974147
143	3635453	46856955
144	3653906	46744801
145	3676620	46688046
146	3708316	46744971
147	3725591	46620243
148	3747755	46557687
149	3774009	46546121
150	3794980	46469659
151	3817807	46416505
152	3842530	46386625
153	3870024	46390036
154	3891913	46326327
155	3912830	46251664
156	3942754	46283418
157	3970289	46286534
158	3996640	46275561
159	4025208	46289901
160	4052977	46294571
161	4078621	46274728
162	4105193	46265281
163	4129109	46225885
164	4157666	46238293
165	4187028	46259094
166	4206110	46166473
167	4229191	46118331
168	4257430	46126364
169	4273921	46007508
170	4305474	46050948
171	4346191	46190918
172	4382424	46281442
173	4419046	46374592
174	4460104	46512517
175	4501143	46648214
176	4541597	46775893
177	4577864	46858818
178	4610358	46902027
179	4645882	46975030
180	4685583	47088818
181	4719596	47144103
182	4754645	47208697
183	4801275	47386501
184	4830724	47393320
185	4872015	47515249
186	4902924	47534771
187	4934281	47558075
188	5007756	47984379
189	5044865	48058984
190	5070656	48025222
191	5106743	48088504
192	5136752	48093844
193	5167870	48109145
194	5197852	48113451
195	5226984	48109590
196	5260599	48146503
197	5293075	48172330
198	5321048	48156825
199	5356325	48206928
200	5382506	48174775
201	5412568	48177220
202	5447726	48224454
203	5482335	48266052
204	5500509	48162995
205	5525366	48118971
206	5558181	48144059
207	5578156	48057967
208	5610925	48082137
209	5643961	48108054
210	5671717	48088637
211	5704180	48108844
212	5738652	48145405
213	5762583	48093336
214	5790665	48075987
215	5816915	48043411
216	5850504	48071192
217	5879297	48059214
218	5896830	47955506
219	5920528	47902460
220	5948138	47881170
221	5975560	47858316
222	6009049	47883767
223	6039701	47886205
224	6064461	47841862
225	6091433	47815059
226	6118367	47787951
227	6156603	47848691
228	6190858	47877772
229	6214367	47823607
230	6242397	47804334
231	6271565	47793657
232	6300211	47778858
233	6322516	47716087
234	6349087	47685696
235	6386294	47734842
236	6409751	47680979
237	6438742	47668339
238	6471195	47681069
239	6499303	47661560
240	6526419	47634737
241	6554766	47616858
242	6577282	47556727
243	6607351	47551264
244	6630217	47494010
245	6655541	47454554
246	6684376	47440127
247	6709812	47401576
248	6739135	47390466
249	6765001	47355010
250	6789108	47307372
251	6818043	47293412
252	6838455	47220479
253	6861722	47167591
254	6890316	47151380
255	6919832	47141362
256	6946280	47110374
257	6970751	47066084
